Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraRichEdit.Layout.Export.CharacterBoxLevelDocumentLayoutExporter.ExportMultiCharacterBox",4,2,0.04,0.02,
"DevExpress.XtraRichEdit.Model.Paragraph.GetLastRunIndex",2,2,0.02,0.02,
"DevExpress.XtraRichEdit.Model.Paragraph.GetParagraphIndex",2,2,0.02,0.02,
"DevExpress.XtraRichEdit.RichEditControl.OnPaint",76,2,0.70,0.02,
"NUnit.Framework.Constraints.Numerics.IsFixedPointNumeric",2,2,0.02,0.02,
"System.Collections.Generic.Dictionary`2[System.Drawing.GraphicsUnit.System.__Canon].FindEntry",2,2,0.02,0.02,
"[cryptsp.dll]",5,1,0.05,0.01,
"[devobj.dll]",3,1,0.03,0.01,
"[dxgi.dll]",1,1,0.01,0.01,
"[nvd3dum.dll]",3,1,0.03,0.01,
"D3D.Vector2.set_Y",1,1,0.01,0.01,
"D3D.Vector2.ToVector2d",2,1,0.02,0.01,
"D3D.Vector2d..ctor",1,1,0.01,0.01,
"D3D.Vector2d.get_Y",1,1,0.01,0.01,
"D3D.Vector3d..ctor",1,1,0.01,0.01,
"D3D.Vector3d.set_X",1,1,0.01,0.01,
"D3D.Vector3d.set_Z",1,1,0.01,0.01,
"DevExpress.ApplicationUI.Demos.DataLoader.LoadData",9,1,0.08,0.01,
"DevExpress.ApplicationUI.Demos.SalesDataGenerator.Generate",70,1,0.65,0.01,
"DevExpress.ApplicationUI.Demos.SalesDataGenerator.GetCategoryName",27,1,0.25,0.01,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator.<get_FilterTotalSales>b__b",1,1,0.01,0.01,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator+MonthlySalesItem.set_Category",1,1,0.01,0.01,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator+TotalSalesItem.get_RevenueYTDTarget",1,1,0.01,0.01,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator+TotalSalesItem.get_State",1,1,0.01,0.01,
"DevExpress.Charts.ChartData.InteractionManager.FindInteractionKeys",2,1,0.02,0.01,
"DevExpress.Charts.ChartData.InteractionManager.GetContainer",3,1,0.03,0.01,
"DevExpress.Charts.ChartData.InteractionManager.IsFirstInConainer",3,1,0.03,0.01,
"DevExpress.Charts.ChartData.InteractionManager.RecalculateFor",48,1,0.44,0.01,
"DevExpress.Charts.Native.AggregatedSeriesPoint.InitializeIsEmpty",1,1,0.01,0.01,
"DevExpress.Charts.Native.AggregationPointFilter.CreateAggregatedPoint",16,1,0.15,0.01,
"DevExpress.Charts.Native.AxisDateTimeGridMapping.get_Map",2,1,0.02,0.01,
"DevExpress.Charts.Native.AxisDateTimeMap.InternalToNative",22,1,0.20,0.01,
"DevExpress.Charts.Native.AxisDateTimeMap.RefinedToInternal",13,1,0.12,0.01,
"DevExpress.Charts.Native.AxisGridDataEx.AddUniqueValueToList",2,1,0.02,0.01,
"DevExpress.Charts.Native.AxisGridDataEx.CreateMinorValues",6,1,0.06,0.01,
"DevExpress.Charts.Native.AxisGridDataEx.FillAutomaticValues",29,1,0.27,0.01,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.AnalyzeLabels",3,1,0.03,0.01,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.InflateLabel",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+LabelItem.get_Rect",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+OverlapState.GetOverlappedState",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+OverlapState.set_FirstItem",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelResolveOverlappingCache.Store",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelRotationHelper.CalculateLeftTopPointForBottomPosition",3,1,0.03,0.01,
"DevExpress.Charts.Native.AxisLabelRotationHelper.CalculateLeftTopPointForLeftPosition",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisLabelRotationHelper.CalculateRotationForLeftNearPosition",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisNumericGridMapping.get_NumericMap",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisNumericGridMapping.InternalToAligned",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisTextDataEx.Add",46,1,0.43,0.01,
"DevExpress.Charts.Native.AxisTextItem.get_Value",1,1,0.01,0.01,
"DevExpress.Charts.Native.AxisTextItem.get_Visible",1,1,0.01,0.01,
"DevExpress.Charts.Native.CollectionUpdateInfo.get_NewIndex",1,1,0.01,0.01,
"DevExpress.Charts.Native.CrosshairSeriesData.FillCrosshairSortedData",3,1,0.03,0.01,
"DevExpress.Charts.Native.CustomAxisElementsHelperNew.FillCustomTextData",2,1,0.02,0.01,
"DevExpress.Charts.Native.DateTimeUnitSelector.FilterActiveAlignmentUnits",3,1,0.03,0.01,
"DevExpress.Charts.Native.DateTimeUnitSelector.UpdateActiveUnits",14,1,0.13,0.01,
"DevExpress.Charts.Native.DateTimeUtilsExt.Add",20,1,0.19,0.01,
"DevExpress.Charts.Native.DateTimeUtilsExt.Difference",23,1,0.21,0.01,
"DevExpress.Charts.Native.DateTimeUtilsExt.get_MinDateTime",1,1,0.01,0.01,
"DevExpress.Charts.Native.DateTimeUtilsExt.GetHolidaysCount",1,1,0.01,0.01,
"DevExpress.Charts.Native.DateTimeUtilsExt.ReverseHolidays",30,1,0.28,0.01,
"DevExpress.Charts.Native.GeometricUtils.StrongRound",5,1,0.05,0.01,
"DevExpress.Charts.Native.GPoint2D..ctor",1,1,0.01,0.01,
"DevExpress.Charts.Native.GPoint2D.get_Y",1,1,0.01,0.01,
"DevExpress.Charts.Native.GRealPoint2D.get_X",1,1,0.01,0.01,
"DevExpress.Charts.Native.GRealRect2D.get_Top",1,1,0.01,0.01,
"DevExpress.Charts.Native.GRect2D.get_Top",1,1,0.01,0.01,
"DevExpress.Charts.Native.GridAndTextDataEx..ctor",122,1,1.13,0.01,
"DevExpress.Charts.Native.IdentityTransformation.TransformForward",1,1,0.01,0.01,
"DevExpress.Charts.Native.InternalRange..ctor",2,1,0.02,0.01,
"DevExpress.Charts.Native.MinMaxValues..ctor",1,1,0.01,0.01,
"DevExpress.Charts.Native.MinMaxValues.get_IsEmpty",1,1,0.01,0.01,
"DevExpress.Charts.Native.MinMaxValues.get_Max",1,1,0.01,0.01,
"DevExpress.Charts.Native.MinMaxValues.set_Min",1,1,0.01,0.01,
"DevExpress.Charts.Native.PaneAxesContainer.get_PrimaryAxisX",1,1,0.01,0.01,
"DevExpress.Charts.Native.PaneAxesContainerRepository..ctor",9,1,0.08,0.01,
"DevExpress.Charts.Native.PatternDataProvider.GetText",9,1,0.08,0.01,
"DevExpress.Charts.Native.PatternParser..ctor",20,1,0.19,0.01,
"DevExpress.Charts.Native.PatternParser.GetText",11,1,0.10,0.01,
"DevExpress.Charts.Native.PatternParser.Parse",17,1,0.16,0.01,
"DevExpress.Charts.Native.PatternParser.PrepareFragment",8,1,0.07,0.01,
"DevExpress.Charts.Native.PatternUtils.Format",7,1,0.06,0.01,
"DevExpress.Charts.Native.PointsValueThresholdFilter.GetOptions",1,1,0.01,0.01,
"DevExpress.Charts.Native.PointsValueThresholdFilter.Update",4,1,0.04,0.01,
"DevExpress.Charts.Native.RangeUpdateManager.Update",100,1,0.93,0.01,
"DevExpress.Charts.Native.RangeUpdateManager+DependentPair.GetMinMaxByFilteredPoints",6,1,0.06,0.01,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup.get_Auto",1,1,0.01,0.01,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup.get_MainAxisUpdateTask",1,1,0.01,0.01,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup+<UpdateTasks>d__6.System.Collections.Generic.IEnumerable<DevExpress.Charts.Native.RangeUpdateManager.UpdateTask>.GetEnumerator",1,1,0.01,0.01,
"DevExpress.Charts.Native.RangeUpdateStrategy.CalcWholeRangeValues",4,1,0.04,0.01,
"DevExpress.Charts.Native.RangeUpdateStrategy.InternalToNative",4,1,0.04,0.01,
"DevExpress.Charts.Native.RangeUpdateStrategy.UpdateRange",49,1,0.45,0.01,
"DevExpress.Charts.Native.RefinedPoint..ctor",2,1,0.02,0.01,
"DevExpress.Charts.Native.RefinedPoint.get_Argument",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedPoint.SetSeriesGroupsInteraction",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedPoint+PointInteractionContainer.get_InvalidContainer",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedPointCollectionBase.get_Count",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedPointCollectionBase.Realloc",2,1,0.02,0.01,
"DevExpress.Charts.Native.RefinedPointCollectionBase.System.Collections.Generic.ICollection<DevExpress.Charts.Native.IRefinedPoint>.get_Count",2,1,0.02,0.01,
"DevExpress.Charts.Native.RefinedPointCollectionBase.System.Collections.Generic.IList<DevExpress.Charts.Native.IRefinedPoint>.get_Item",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_ArgumentGroup",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_FinalPointsSortedByArgument",117,1,1.08,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_IsContainsProcessedPoints",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_MaxArgument",17,1,0.16,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_MaxVisiblePointIndex",11,1,0.10,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_SeriesView",7,1,0.06,0.01,
"DevExpress.Charts.Native.RefinedSeries.get_UseOnlyVisiblePoints",11,1,0.10,0.01,
"DevExpress.Charts.Native.RefinedSeries.GetIndexByArgument",2,1,0.02,0.01,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.get_PointsSortedByArgument",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.UpdateCollections",12,1,0.11,0.01,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.GetScaleType",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeriesGroupByValue.GetMinMaxRefined",1,1,0.01,0.01,
"DevExpress.Charts.Native.RefinedSeriesGroupController.UpdateAxisData",44,1,0.41,0.01,
"DevExpress.Charts.Native.RefinedSeriesRepository.DevExpress.Charts.Native.IRefinedSeriesContainer.get_IsDesignMode",2,1,0.02,0.01,
"DevExpress.Charts.Native.RefinedSeriesRepository.DevExpress.Charts.Native.IRefinedSeriesContainer.IsFirstInContainer",4,1,0.04,0.01,
"DevExpress.Charts.Native.RotationMatrix..ctor",1,1,0.01,0.01,
"DevExpress.Charts.Native.RotationMatrix.Rotate",2,1,0.02,0.01,
"DevExpress.Charts.Native.RotationMatrix.TransformPoint",1,1,0.01,0.01,
"DevExpress.Charts.Native.SeriesContainer.get_SeriesView",1,1,0.01,0.01,
"DevExpress.Charts.Native.SeriesController.CommitTransaction",299,1,2.77,0.01,
"DevExpress.Charts.Native.SeriesController.get_ActiveRefinedSeries",1,1,0.01,0.01,
"DevExpress.Charts.Native.SeriesController.get_RefinedSeriesGroups",1,1,0.01,0.01,
"DevExpress.Charts.Native.SeriesController.GetSeriesByAxis",1,1,0.01,0.01,
"DevExpress.Charts.Native.SeriesController.UpdateRange",165,1,1.53,0.01,
"DevExpress.Charts.Native.SeriesIncompatibilityCalculatorBase`2[System.__Canon.System.__Canon].IsVisibleAndCompatible",3,1,0.03,0.01,
"DevExpress.Charts.Native.SideBySideGroup..ctor",2,1,0.02,0.01,
"DevExpress.Charts.Native.SideBySideInteractionBase.RemoveSeries",29,1,0.27,0.01,
"DevExpress.Charts.Native.SideMarginCalculator.CalcSideMargin",15,1,0.14,0.01,
"DevExpress.Charts.Native.UnitSelector`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectMeasureUnit",2,1,0.02,0.01,
"DevExpress.Charts.Native.WorkdaysPointsFilter.get_ArgumentAxisData",1,1,0.01,0.01,
"DevExpress.Charts.Native.WorkdaysPointsFilter.IsEnabled",15,1,0.14,0.01,
"DevExpress.Charts.Native.WorkdaysPointsFilter.Update",18,1,0.17,0.01,
"DevExpress.Charts.Native.XYSeriesContainer.InsertRefinedPoint",4,1,0.04,0.01,
"DevExpress.Charts.NotificationCenter.Native.NotificationFilterCredentials.SetLevel",1,1,0.01,0.01,
"DevExpress.Charts.NotificationCenter.Native.NotificationFilterCredentials.ShiftToLevel",2,1,0.02,0.01,
"DevExpress.Charts.NotificationCenter.Native.ObserverFilter..ctor",8,1,0.07,0.01,
"DevExpress.Charts.NotificationCenter.Native.ObserverFilter.FindObservers",2,1,0.02,0.01,
"DevExpress.Charts.NotificationCenter.NotificationCenter.IsDenied",1,1,0.01,0.01,
"DevExpress.Data.Browsing.DataBrowser.SetDataSource",1,1,0.01,0.01,
"DevExpress.Data.DataController.get_VisibleCount",1,1,0.01,0.01,
"DevExpress.Data.Helpers.BaseListDataControllerHelper.GetRowValue",28,1,0.26,0.01,
"DevExpress.Data.Utils.AlignmentConverter.HorzAlignmentToStringAlignment",1,1,0.01,0.01,
"DevExpress.LookAndFeel.LookAndFeelHelper.IsRootDesignModeControl",1,1,0.01,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.get_ActiveSkinName",16,1,0.15,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.get_ActiveStyle",2,1,0.02,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.get_SkinMaskColor",1,1,0.01,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.get_TouchUIMode",1,1,0.01,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.GetTouchUI",8,1,0.07,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.GetTouchUIModeCore",2,1,0.02,0.01,
"DevExpress.LookAndFeel.UserLookAndFeel.PurgeStyleChangedRecords",1,1,0.01,0.01,
"DevExpress.Map.CoordPoint.get_YCoord",1,1,0.01,0.01,
"DevExpress.Map.CoordPoint.GetX",2,1,0.02,0.01,
"DevExpress.Map.CoordPoint.op_Inequality",19,1,0.18,0.01,
"DevExpress.Map.Native.CoordSystemCore.get_CoordinateConverter",1,1,0.01,0.01,
"DevExpress.Map.Native.MapUnitCore..ctor",1,1,0.01,0.01,
"DevExpress.Map.Native.MapUnitCore.get_X",1,1,0.01,0.01,
"DevExpress.Map.Native.ProjectionBaseCore.get_OffsetX",1,1,0.01,0.01,
"DevExpress.Map.Native.ShapefileLoaderCore`1[System.__Canon].CreateItemsAsPolygon",80,1,0.74,0.01,
"DevExpress.Office.Drawing.FontCache.get_Item",1,1,0.01,0.01,
"DevExpress.Office.Drawing.FontCharacterSet.AddRange",1,1,0.01,0.01,
"DevExpress.Office.Drawing.GdiPainter.APISetClip",3,1,0.03,0.01,
"DevExpress.Office.IndexBasedObject`2[System.__Canon.System.__Canon].get_Info",2,1,0.02,0.01,
"DevExpress.Office.Model.DocumentModelBase`1[DevExpress.XtraRichEdit.DocumentFormat].get_FontCache",1,1,0.01,0.01,
"DevExpress.Office.Model.DocumentModelBase`1[DevExpress.XtraRichEdit.DocumentFormat].GetService",7,1,0.06,0.01,
"DevExpress.Office.UndoableIndexBasedObject`2[System.__Canon.DevExpress.XtraRichEdit.Model.DocumentModelChangeActions].get_IsUpdateLocked",1,1,0.01,0.01,
"DevExpress.Office.UniqueItemsCache`1[System.__Canon].get_Item",1,1,0.01,0.01,
"DevExpress.Office.Utils.ChunkedStringBuilder.ToString",2,1,0.02,0.01,
"DevExpress.Office.Utils.Debug.Assert",1,1,0.01,0.01,
"DevExpress.Services.Internal.ServiceManager.GetService",4,1,0.04,0.01,
"DevExpress.Skins.Skin.get_BaseColor2",3,1,0.03,0.01,
"DevExpress.Skins.Skin.get_DpiProvider",1,1,0.01,0.01,
"DevExpress.Skins.Skin.get_Elements",1,1,0.01,0.01,
"DevExpress.Skins.Skin.get_MaskColor2",2,1,0.02,0.01,
"DevExpress.Skins.Skin.get_TouchScaleFactor",1,1,0.01,0.01,
"DevExpress.Skins.Skin.set_MaskColor",17,1,0.16,0.01,
"DevExpress.Skins.Skin.set_TouchScaleFactor",1,1,0.01,0.01,
"DevExpress.Skins.SkinBorder.get_All",2,1,0.02,0.01,
"DevExpress.Skins.SkinBorder.GetLeft",1,1,0.01,0.01,
"DevExpress.Skins.SkinBuilderElementInfo.get_Size",1,1,0.01,0.01,
"DevExpress.Skins.SkinBuilderElementInfo.get_TouchScaleFactorCore",1,1,0.01,0.01,
"DevExpress.Skins.SkinColor.get_FontSize",1,1,0.01,0.01,
"DevExpress.Skins.SkinColors.GetColor",2,1,0.02,0.01,
"DevExpress.Skins.SkinColors.GetColorCore",1,1,0.01,0.01,
"DevExpress.Skins.SkinColors.SetProperty",2,1,0.02,0.01,
"DevExpress.Skins.SkinContainer.get_CommonSkin",2,1,0.02,0.01,
"DevExpress.Skins.SkinContainer.get_Loaded",1,1,0.01,0.01,
"DevExpress.Skins.SkinContainer.GetSkin",16,1,0.15,0.01,
"DevExpress.Skins.SkinContainer+ProductsKeyComparer.System.Collections.IEqualityComparer.Equals",1,1,0.01,0.01,
"DevExpress.Skins.SkinCustomProperties.get_CustomProperties",1,1,0.01,0.01,
"DevExpress.Skins.SkinElement.Apply",7,1,0.06,0.01,
"DevExpress.Skins.SkinElement.get_Border",4,1,0.04,0.01,
"DevExpress.Skins.SkinElement.get_Color",1,1,0.01,0.01,
"DevExpress.Skins.SkinElement.get_SizeCore",3,1,0.03,0.01,
"DevExpress.Skins.SkinElementPainter.CalcObjectMinBounds",11,1,0.10,0.01,
"DevExpress.Skins.SkinElementPainter.DrawSkinBorder",4,1,0.04,0.01,
"DevExpress.Skins.SkinElementPainter.DrawSkinImage",197,1,1.83,0.01,
"DevExpress.Skins.SkinElementPainter.FillSkinBackground",36,1,0.33,0.01,
"DevExpress.Skins.SkinImage.get_ImageCount",1,1,0.01,0.01,
"DevExpress.Skins.SkinImage.GetImageSize",19,1,0.18,0.01,
"DevExpress.Skins.SkinManager.GetSkin",32,1,0.30,0.01,
"DevExpress.Skins.SkinPaddingEdges.get_Bottom",1,1,0.01,0.01,
"DevExpress.Skins.SkinPaddingEdges.get_IsEmpty",1,1,0.01,0.01,
"DevExpress.Skins.SkinPaddingEdges.get_Left",1,1,0.01,0.01,
"DevExpress.Skins.SkinPaddingEdges.get_Top",1,1,0.01,0.01,
"DevExpress.Skins.SkinPaddingEdges.Inflate",2,1,0.02,0.01,
"DevExpress.Skins.SkinProperties.GetInteger",1,1,0.01,0.01,
"DevExpress.Skins.SkinSizeTouch.get_MinSize",1,1,0.01,0.01,
"DevExpress.Utils.Algorithms.BinarySearch",5,1,0.05,0.01,
"DevExpress.Utils.AppearanceDefault..ctor",2,1,0.02,0.01,
"DevExpress.Utils.AppearanceDefault..ctor",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceDefault.Clear",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceDefault.get_BackColor2",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceDefault.get_BorderColor",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceHelper.Combine",29,1,0.27,0.01,
"DevExpress.Utils.AppearanceHelper.Combine",30,1,0.28,0.01,
"DevExpress.Utils.AppearanceHelper.Combine",4,1,0.04,0.01,
"DevExpress.Utils.AppearanceObject..ctor",3,1,0.03,0.01,
"DevExpress.Utils.AppearanceObject.BeginUpdate",2,1,0.02,0.01,
"DevExpress.Utils.AppearanceObject.CheckFont",3,1,0.03,0.01,
"DevExpress.Utils.AppearanceObject.DrawString",26,1,0.24,0.01,
"DevExpress.Utils.AppearanceObject.EndUpdate",5,1,0.05,0.01,
"DevExpress.Utils.AppearanceObject.get_DefaultFont",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.get_Font",4,1,0.04,0.01,
"DevExpress.Utils.AppearanceObject.get_GradientMode",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.get_IsLoading",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.get_Owner",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.get_TextOptions",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.GetBackColor",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceObject.GetFontCore",3,1,0.03,0.01,
"DevExpress.Utils.AppearanceObject.OnFontSizeDeltaChanged",3,1,0.03,0.01,
"DevExpress.Utils.AppearanceObject.SetFont",4,1,0.04,0.01,
"DevExpress.Utils.AppearanceOptions.get_UseBackColor",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceOptions.get_UseBorderColor",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceOptions.RemoveChangedCoreHandler",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceOptions.set_UseFont",1,1,0.01,0.01,
"DevExpress.Utils.AppearanceOptions.set_UseForeColor",1,1,0.01,0.01,
"DevExpress.Utils.CodedUISupport.CodedUIUtils.IsIdentifyControlMessage",8,1,0.07,0.01,
"DevExpress.Utils.CollectionChangedEventArgs`1[System.__Canon]..ctor",1,1,0.01,0.01,
"DevExpress.Utils.ComparingUtils.CompareDoubles",1,1,0.01,0.01,
"DevExpress.Utils.Controls.BaseHandler.ProcessEvent",20,1,0.19,0.01,
"DevExpress.Utils.Controls.ControlBase.WndProc",323,1,2.99,0.01,
"DevExpress.Utils.Design.BaseDesignTimeManager.get_SelectionService",1,1,0.01,0.01,
"DevExpress.Utils.Design.DesignTimeTools.get_IsDesignMode",200,1,1.85,0.01,
"DevExpress.Utils.Drawing.Animation.AnimationInfoCollection.get_Item",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.BaseCheckObjectInfoArgs.get_CaptionRect",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.BitmapRotate.CreateBufferBitmap",2,1,0.02,0.01,
"DevExpress.Utils.Drawing.BorderPainter..ctor",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.DXPaintEventArgs.get_ClipRectangle",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.DXPaintEventArgs.get_PaintArgs",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsCache.CalcClipRectangle",2,1,0.02,0.01,
"DevExpress.Utils.Drawing.GraphicsCache.get_IsMatrixReady",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsClip.APIExcludeClip",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsClip.BeginHdc",6,1,0.06,0.01,
"DevExpress.Utils.Drawing.GraphicsClip.CheckBounds",2,1,0.02,0.01,
"DevExpress.Utils.Drawing.GraphicsClip.get_IsReady",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsClip.RestoreClip",4,1,0.04,0.01,
"DevExpress.Utils.Drawing.GraphicsInfo..ctor",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsInfo.AddGraphics",6,1,0.06,0.01,
"DevExpress.Utils.Drawing.GraphicsInfo.get_Graphics",4,1,0.04,0.01,
"DevExpress.Utils.Drawing.GraphicsInfo.get_SharedGraphics",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsInfoArgs.get_Bounds",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.GraphicsInfoArgs.get_Graphics",4,1,0.04,0.01,
"DevExpress.Utils.Drawing.GraphicsInfoArgs.set_Graphics",4,1,0.04,0.01,
"DevExpress.Utils.Drawing.Helpers.NativeMethods.GetWindowPlacement",3,1,0.03,0.01,
"DevExpress.Utils.Drawing.Helpers.Win32SubclasserFactory+Win32Subclasser.DevExpress.Utils.Drawing.Helpers.IWin32Subclasser.get_Handle",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.ObjectInfoArgs.set_State",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.ObjectPainter.GetObjectClientRectangle",2,1,0.02,0.01,
"DevExpress.Utils.Drawing.ResourceCache+ColorComparer.Equals",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.SkinGroupObjectPainter.InternalUpdateCaptionBounds",1,1,0.01,0.01,
"DevExpress.Utils.Drawing.StyleObjectInfoArgs..ctor",7,1,0.06,0.01,
"DevExpress.Utils.Drawing.StyleObjectInfoArgs.SetAppearance",1,1,0.01,0.01,
"DevExpress.Utils.DXMouseEventArgs..ctor",1,1,0.01,0.01,
"DevExpress.Utils.DXMouseEventArgs.GetMouseArgs",2,1,0.02,0.01,
"DevExpress.Utils.Extensions.UtilsExtensions.LParamFromPoint",1,1,0.01,0.01,
"DevExpress.Utils.Extensions.UtilsExtensions.PointFromLParam",1,1,0.01,0.01,
"DevExpress.Utils.FormShadow.FormShadow.get_Form",1,1,0.01,0.01,
"DevExpress.Utils.FormShadow.FormShadow.HwndSourceHook",188,1,1.74,0.01,
"DevExpress.Utils.FormShadow.FormShadowHookController.InternalPostFilterMessage",1,1,0.01,0.01,
"DevExpress.Utils.FormShadow.FormShadowHookController.InternalPreFilterMessage",190,1,1.76,0.01,
"DevExpress.Utils.FormShadow.RibbonFormSkinShadowPainter.GetSkinElementNameByWindowType",2,1,0.02,0.01,
"DevExpress.Utils.FormShadow.ShadowWindow.UpdateWindowPos",79,1,0.73,0.01,
"DevExpress.Utils.FormShadow.ShadowWindowLayoutCalculator.GetImageSize",16,1,0.15,0.01,
"DevExpress.Utils.Gesture.GestureHelper.get_IsGestureSupported",1,1,0.01,0.01,
"DevExpress.Utils.ImageCollection..ctor",1,1,0.01,0.01,
"DevExpress.Utils.ImageCollection.GetImageListSize",1,1,0.01,0.01,
"DevExpress.Utils.Images.GetImageFromCollection",13,1,0.12,0.01,
"DevExpress.Utils.NotificationCollection`1[System.__Canon].RaiseCollectionChanging",3,1,0.03,0.01,
"DevExpress.Utils.OSVersionHelper.Is64BitOS",4,1,0.04,0.01,
"DevExpress.Utils.Paint.XPaint.CanDraw",1,1,0.01,0.01,
"DevExpress.Utils.Paint.XPaint.get_Graphics",1,1,0.01,0.01,
"DevExpress.Utils.Paint.XPaintMixed.InternalDrawString",84,1,0.78,0.01,
"DevExpress.Utils.PlacementHelper.Arrange",3,1,0.03,0.01,
"DevExpress.Utils.PlacementHelper.GetTop",1,1,0.01,0.01,
"DevExpress.Utils.Text.FontCache.DrawStringSCCore",64,1,0.59,0.01,
"DevExpress.Utils.Text.FontCache.IsNewLine",1,1,0.01,0.01,
"DevExpress.Utils.Text.FontsCache.get_Item",98,1,0.91,0.01,
"DevExpress.Utils.Text.FontsCache.GetFontCacheByFont",97,1,0.90,0.01,
"DevExpress.Utils.Text.StringCalculateArgs.set_HyperlinkSettings",1,1,0.01,0.01,
"DevExpress.Utils.Text.StringInfo.UpdateXLocation",1,1,0.01,0.01,
"DevExpress.Utils.Text.StringPainter.GetNextWords",11,1,0.10,0.01,
"DevExpress.Utils.Text.StringPainter.GetStringWidth",11,1,0.10,0.01,
"DevExpress.Utils.Text.TextLine..ctor",1,1,0.01,0.01,
"DevExpress.Utils.Text.TextLine.UpdateTrimmingLine",2,1,0.02,0.01,
"DevExpress.Utils.Text.TextLines..ctor",4,1,0.04,0.01,
"DevExpress.Utils.Text.TextOutDraw.CanAddOneMoreLine",2,1,0.02,0.01,
"DevExpress.Utils.Text.TextOutDraw.CreateLines",29,1,0.27,0.01,
"DevExpress.Utils.Text.TextOutDraw.CreateNoWrapLines",8,1,0.07,0.01,
"DevExpress.Utils.Text.TextOutDraw.get_DrawBounds",1,1,0.01,0.01,
"DevExpress.Utils.Text.TextOutDraw.get_FontCache",1,1,0.01,0.01,
