Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.Utils.Drawing.GraphicsInfoArgs..ctor",2,2,0.02,0.02,
"DevExpress.Utils.Drawing.ObjectInfoArgs..ctor",3,2,0.03,0.02,
"DevExpress.Utils.DXCollection`1[System.__Canon].get_Item",9,2,0.08,0.02,
"DevExpress.Utils.Gesture.GestureHelper.WndProc",14,2,0.13,0.02,
"DevExpress.Utils.NamedItemNotificationCollection`1[System.__Canon].get_Item",8,2,0.07,0.02,
"DevExpress.Utils.Text.FontCache.PrepareWidthAndKerningArrays",4,2,0.04,0.02,
"DevExpress.Utils.Text.TextOutDraw..ctor",49,2,0.45,0.02,
"DevExpress.Utils.Text.TextOutDraw.CorrectRectangleTop",4,2,0.04,0.02,
"DevExpress.Utils.Text.TextOutDraw.GetNextWord",4,2,0.04,0.02,
"DevExpress.Utils.ToolTipController.FindTopLevelForm",2,2,0.02,0.02,
"DevExpress.Utils.Win.Hook.HookManager.get_CurrentThread",10,2,0.09,0.02,
"DevExpress.Utils.Win.Hook.HookManager.GetInfoByThread",14,2,0.13,0.02,
"DevExpress.XtraBars.Docking2010.Customization.BaseAdornerBootStrapper.get_IsDisposing",2,2,0.02,0.02,
"DevExpress.XtraBars.Docking2010.Views.BaseDocumentCollection.PostFilterMessageCore",11,2,0.10,0.02,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.DevExpress.Utils.Win.Hook.IHookControllerWithResult.get_Result",2,2,0.02,0.02,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.OnWmSizeMove",3,2,0.03,0.02,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.UpdateRibbonObjectsOnMouseMove",25,2,0.23,0.02,
"DevExpress.XtraBars.Ribbon.RibbonBarManager.get_Ribbon",2,2,0.02,0.02,
"DevExpress.XtraBars.Ribbon.ViewInfo.BaseRibbonViewInfo.get_IsReady",2,2,0.02,0.02,
"DevExpress.XtraCharts.Axis.CreateIntervals",6,2,0.06,0.02,
"DevExpress.XtraCharts.Axis2D.UpdateIntervals",12,2,0.11,0.02,
"DevExpress.XtraCharts.AxisBase.DevExpress.Charts.Native.IAxisData.get_Reverse",2,2,0.02,0.02,
"DevExpress.XtraCharts.AxisLabel.get_ActualTextPattern",3,2,0.03,0.02,
"DevExpress.XtraCharts.AxisLabel.GetTextColor",2,2,0.02,0.02,
